src_geneid,trg_geneid
2107,51121
5093,5725
8894,60492
7132,5708
57596,117144
5664,55851
1756,8525
96764,23054
2534,7454
55330,2038
5702,29893
5888,7341
3786,805
972,983
9545,1121
3646,10900
6342,51555
7159,9094
3172,5631
5435,25920
124,125
6521,760
5142,5150
10095,10109
10425,1743
8601,11075
5439,25920
2091,51388
6588,5350
4208,9759
3566,3716
3190,7414
2957,2966
5693,5706
3866,114822
23521,6129
1385,2736
820,2358
3955,4851
5432,6628
2959,5437
6632,3184
9759,10014
415,416
721,1380
921,3932
4956,7205
7919,92906
23450,10421
2017,6850
9378,22895
6575,64327
8439,10399
1440,3717
6165,6175
23451,51631
8399,4651
6143,6167
4736,6181
1081,3972
2064,6654
6146,6193
3172,4800
1964,6176
358,30008
201176,30011
6598,2908
7299,8573
8470,10211
5111,5983
5601,8550
7301,6714
267,7322
4904,29894
2103,10514
5566,5568
6730,7310
6827,8178
8473,10254
3656,3265
113,1462
3692,54969
57819,5725
6770,9638
9189,10174
6877,2968
10552,81873
6187,1977
7046,57381
84141,5764
116,6469
6189,8894
4144,84803
2132,10131
5080,338917
4686,6632
2139,51804
51441,51517
1840,23353
3172,9733
54555,9001
1025,5437
5987,7704
5093,10992
4706,83940
661,6617
10060,23054
5638,5639
11007,79088
6310,7874
841,8717
7014,2547
1149,7704
5048,80031
8495,8541
3172,7066
5440,25885
4988,5338
7186,85302
4143,79850
5516,5518
284169,5802
3265,993
5460,3146
5701,5704
4191,5213
6204,6160
5148,6714
51692,6427
3191,23020
3046,3040
10181,3181
8309,84706
7097,7099
3178,10946
7936,2965
5985,23649
3796,55605
5439,9785
9150,6872
5063,9459
5594,348995
2355,8061
6636,57819
6228,6173
5499,5502
8492,8503
5557,5983
1285,3026
1315,5999
8493,6633
4856,5441
7046,9392
4803,4316
4193,6280
4609,6667
4666,115708
1438,4085
1915,6154
4736,6123
1182,1183
9873,11007
5433,9785
7157,9538
1026,9133
8382,84332
6633,7073
10519,10769
51639,10291
7088,7181
9785,51585
6301,56897
6139,22974
5901,1104
26994,133957
4854,55851
3572,3717
5275,5657
5217,6854
5688,5709
22985,219541
2059,10611
399,604
6135,6204
3479,2335
55914,1499
3172,11214
3837,5901
4790,6778
9672,51003
6628,6625
26085,43847
54676,80212
84844,9343
1839,7039
5439,6884
10852,10853
1815,1816
10272,10468
5586,5170
846,2316
23126,6667
6136,51069
1994,1995
672,8900
10181,3184
4023,57562
6625,3192
6829,130672
4522,56648
4351,7086
5430,6627
1634,7040
7224,7223
9630,1129
6147,6829
4909,627
64072,10083
7134,7136
6496,7090
3172,1070
6228,6147
388,6010
348995,7175
1285,2199
6638,10419
7289,9253
6207,8664
595,1869
3753,3757
23089,6478
4905,9570
6188,6234
8805,2100
2065,6464
5329,6835
1435,3574
55802,122011
1788,1786
23099,51224
5684,5347
8812,79959
10419,8487
3172,140609
140032,142940
8674,8675
51490,130672
7528,1871
7186,9726
1387,6898
4666,5563
9070,84661
6231,8666
31,28965
3577,6374
7360,10425
2963,3190
10425,10524
7094,83660
4860,60492
6837,84246
2588,4758
5050,10980
6207,55312
6217,6224
1088,4680
462,2023
7205,116349
2140,79869
55250,55140
4113,54780
90,84085
5111,51728
9545,117177
2870,1131
462,5183
5432,6431
2237,9156
3172,3336
3172,51167
4188,55885
4809,6426
4666,83955
1936,1937
6217,6187
5931,3303
10155,8805
405,57491
1856,51224
9759,10013
80306,112950
142,7534
993,5696
1874,8358
80764,541468
3183,8106
5682,6233
51690,23658
6158,6206
6136,11224
3172,6154
6142,6217
2676,5623
23409,51548
6210,11224
286,3897
11103,23626
6217,6134
9330,2972
2197,8662
3320,9451
9229,8655
3172,54520
79813,1487
10657,5295
939,10572
8697,64682
3630,5600
9133,995
8178,6921
7818,8772
6157,6124
1387,672
8648,10891
3190,5094
1749,9500
3158,4598
7534,151
6156,6165
8658,4012
1975,4440
3172,81570
3685,10085
3717,7852
6142,6171
5714,5721
4084,4610
5682,10197
5594,84867
55759,79039
941,4311
433,7184
3172,85403
5663,55294
6346,1237
966,7448
8655,8537
10921,728642
2690,7297
91,3626
6159,6170
3654,7098
6222,6167
84103,7277
529,2547
48,4793
3172,835
5239,7402
7316,9861
11128,55718
3172,373156
54331,2782
3481,3643
7089,85508
6935,4088
7046,9128
1040,9058
665,596
5436,24148
1660,6637
5433,9343
1748,9500
8120,148055
114569,7163
1990,5265
25843,1400
203068,1642
4116,3183
1660,10262
6626,79002
6709,50944
1736,25902
2068,11000
5594,842
6048,7322
80152,60490
6171,25873
9412,219541
6192,6175
2230,4830
1857,84708
6133,6206
7134,7139
3055,5175
10992,3185
2130,4110
6617,7702
6477,6500
7920,10430
4331,25920
9513,151871
3248,94005
2107,11080
4609,7528
4188,54973
1964,6132
10874,56923
7132,64112
2274,1499
9971,10891
84218,998
360,362
3172,115330
3565,6772
6210,6167
2057,2885
8839,10762
7975,83990
6125,55176
1436,2324
10992,26121
23450,53981
10733,54855
28996,1482
9611,8819
7072,25766
26225,23468
6124,86781
22929,11092
4035,23542
2966,6924
3172,10112
1005,1499
1312,4129
3172,80227
10262,8106
1161,10987
3312,2079
4591,7187
6161,6227
5500,9372
5654,27079
5662,2742
6632,3181
4176,55388
6223,6234
6633,10236
5438,5093
3984,9113
6139,6122
5687,7314
1816,2768
641,5984
6814,6810
3172,4722
5437,6827
2068,51164
5925,10403
5699,5709
2107,6139
375,1104
2060,23677
5708,9861
11067,83878
5719,9861
4155,55589
5433,23020
3066,3054
4352,7297
2107,6144
54567,4853
1983,6189
2533,3937
1915,6158
5580,5170
81565,5048
6210,6203
551,84817
3172,55702
3235,2565
2230,1583
6189,6134
6205,6181
367,2274
287,6709
3066,8819
920,5304
4318,7058
5094,22913
5682,9861
3202,2308
301,302
1938,6201
5335,5795
373,9266
4686,10250
6223,6227
6625,51585
7088,7089
718,3687
1499,2898
4176,4173
7556,51710
54581,54583
6418,3148
26275,54995
4445,4462
1938,6234
4504,7050
11079,6457
4889,5540
6194,8668
6629,8683
1499,8239
990,5700
2775,774
3551,9402
2780,10681
79643,11267
5437,6429
27339,92345
1656,1857
8812,83878
7294,91746
2033,7528
4331,5433
7289,8650
5435,3181
23468,3930
5880,8454
821,5589
6165,9045
1020,2580
6218,6176
9295,5094
6135,6133
8683,23020
551,5021
369,4893
5435,10421
6188,51490
8850,4854
862,25942
7936,2966
5725,51362
6513,2040
1135,1143
2495,197131
10199,10528
6202,1983
1017,8999
841,8682
10574,6950
26986,8661
1969,6503
9425,6239
5663,2317
1653,23481
8976,10174
5747,9140
50808,51069
3309,54431
5925,1021
6117,10714
2885,89796
6229,1974
2379,2380
189,55748
3182,1996
5621,1457
120,64130
9094,3932
6453,84106
9295,23450
4087,4609
8751,3932
5440,6619
10775,86781
5690,5701
6093,993
8570,57120
55698,84528
6348,6351
1499,2308
948,5175
6046,6478
5439,51585
7341,356
865,861
3821,5781
3172,10526
8458,988
7531,8470
5094,8175
4736,130672
11016,359948
7297,10419
55211,6457
6204,9001
7094,3674
1832,5318
5713,7311
4719,374291
3172,65080
79576,220108
5715,7311
7334,7335
7248,4478
3175,10783
4998,115106
3490,3627
3172,9528
2697,7082
3921,7311
4928,3843
5303,6130
26986,6208
7718,51224
983,1111
51082,2965
3172,53407
2822,250
29956,433
1593,6168
6134,6136
2512,1647
6461,1398
2539,25796
2801,27229
9495,54816
2952,54363
9796,10419
944,970
9295,29894
5053,5860
597,2885
3565,3581
5435,3190
1201,4878
3630,3952
30818,57126
3211,5316
11143,80321
11064,8717
10236,6427
4606,4608
6233,6194
11066,6637
4332,9447
8682,6197
996,8881
3172,3294
4155,58190
1440,3562
5440,27316
4176,5001
4067,2185
6633,3187
7299,51232
3856,5411
51701,56935
3146,1400
2649,3801
64400,84303
930,933
4739,1398
4790,3093
9815,156
6667,8879
4296,5609
6382,6386
5435,84844
56159,84260
7186,8915
60,71
2741,2742
3182,4792
5693,5721
207,7248
5440,6884
6258,256710
4967,8803
3172,2542
1437,3572
51073,1967
54949,60492
9785,10978
1161,2965
6134,6161
3621,5928
8243,3187
57556,50618
4194,4193
6844,9482
9669,6223
11007,157773
5694,6233
4005,5925
7030,1871
9322,23433
5434,6628
5434,3178
54536,10640
29979,5682
2028,54490
81704,5879
898,51191
9223,1822
3172,11137
5595,5900
3661,5055
546,54462
7080,7849
8295,10629
81620,23594
5906,5900
6432,8683
8794,8743
10001,7067
2768,2773
5431,9785
6147,6159
6218,6224
3688,5581
114836,7535
382,9266
3066,9759
1894,2151
57159,84676
867,1436
10891,5468
5700,5713
10383,5720
6362,1915
22820,6892
4086,391
135458,5883
6927,290
6187,6230
2571,84190
5581,5175
3181,29894
27339,6427
3172,28971
2534,5159
5702,5711
5925,1870
3690,6464
5693,5699
3066,3312
6626,10262
10181,9416
8794,8837
25,1399
823,70
4904,8106
990,5690
8312,1855
1161,1022
6241,7123
6667,7071
1478,23451
6625,1478
4094,4602
119,801
6477,27101
5435,3192
81796,286451
10524,8089
843,7132
6843,6844
962,1604
894,1875
9802,51545
9627,5414
3172,56478
3586,3976
55729,2961
5438,10949
10670,54443
5245,5654
718,10877
5727,891
2915,808
6218,23521
8649,1154
1814,23413
5914,7704
1499,2535
2954,222696
7411,5204
330,842
1656,219988
673,5605
6804,7431
951,10013
1230,1524
4799,1996
3172,4694
10226,9367
22924,166614
176,2199
8675,10228
3191,6431
9804,7917
7189,10454
6528,57455
1915,6168
5921,6464
10492,10236
29945,8881
10267,27297
8503,3667
4324,4035
653,655
2130,6714
2260,7750
2967,5430
1050,1017
6232,10403
6927,8224
6143,6201
7013,26277
997,6500
11007,57326
84970,93487
57017,51412
3172,84971
11117,3676
23476,5981
4582,1500
6477,5178
5887,902
6687,22913
7187,7188
10538,3727
6877,2961
1029,4193
3175,8431
9735,9183
4089,65264
80324,130672
694,3725
4208,117581
9326,6256
6419,51162
6872,2967
10153,54663
3320,338
4706,286552
1901,2770
2806,4191
7300,8573
1437,3565
2309,4088
9045,6129
1915,6232
23462,23493
23132,122970
6154,6125
1938,7335
26019,196513
55109,8742
51003,219541
9802,10254
6429,6632
4616,5467
208,5170
1854,5465
25929,79833
10006,6655
4998,5715
10270,4171
649,3918
2353,2354
7186,55209
958,9103
3208,4671
5439,6827
6122,6169
5962,396
7827,23607
4036,7276
10733,7006
5144,5150
9146,9802
3183,3185
5432,10236
6154,23173
51602,6124
5687,5717
5595,283455
5089,92806
2058,23590
1380,975
6144,6167
2690,6776
4300,84060
5710,6147
6158,9349
4609,283458
9933,79803
993,5717
6135,6132
29888,26100
6303,6176
8508,79735
348,4137
6628,6637
10053,27106
6144,6176
658,269
11218,6606
6201,6230
6171,6129
5434,220988
3646,6208
2596,5449
23214,7408
6159,6187
1956,5156
1398,3667
6618,6621
124,9425
321,6812
498,506
1801,1802
811,3674
3398,3399
84220,3842
5355,10134
7067,1024
1973,8667
1161,2968
7431,79902
7188,7874
3188,6627
54622,1400
124,10327
5720,9491
6927,11193
5049,57455
1546,1572
3481,7040
7514,8021
10291,10362
8454,9978
6181,6147
7225,7223
7280,60626
5432,51154
5440,6632
9454,27092
3066,5928
1032,79735
6159,7311
4093,55577
6203,8894
10419,11218
6152,6124
4839,57062
6035,7448
4733,65018
8666,1981
5913,1605
10163,51019
6633,51747
23450,55692
6626,53981
7410,7454
29979,7337
6907,6500
9669,6232
1358,10531
7133,8161
6137,6191
8664,1974
2068,79731
5604,9402
51366,6421
5217,29109
29903,468
7531,572
2626,4208
2963,6426
84172,2965
6827,2963
54464,3178
6340,11060
23118,8841
7114,5531
5431,5434
9892,22848
51517,4690
4791,4792
3716,6461
5728,10980
5433,6427
6464,4869
5861,5713
2516,3725
3106,3105
3811,3824
3172,25852
9255,10362
3309,22938
2237,10714
1938,6208
3661,5052
2626,6910
675,7157
689,3205
5436,6229
6217,6210
3205,7410
2833,6373
9402,9846
23413,113878
22937,152006
5330,9368
5664,1499
1436,3636
3486,6256
1398,29760
51409,115209
6429,10236
6774,3953
5921,9212
29888,5297
2889,4914
5434,9939
7335,7360
57630,5609
931,3932
55644,84779
409,5900
10672,5962
839,5925
51069,283341
2107,23521
65110,10482
5905,7329
605,9274
9933,79039
5414,23157
962,6693
8850,2647
6217,1977
1843,1432
4706,51004
5699,5714
5795,1500
8721,466
673,10983
56992,4288
250,10026
6426,10189
3172,9375
4254,7124
1437,1440
5431,8732
6169,25873
51,728294
3661,6857
8841,51564
5058,1457
1960,1961
5111,29935
55824,4067
5888,10423
9513,51451
226,529
3312,10072
6152,6230
6045,222019
2033,1045
6207,6224
6626,5725
1017,5933
5093,10915
7277,4691
9968,9967
5439,2963
51,284161
4881,4882
3276,2091
5693,5687
836,7185
3636,25
6159,6218
8189,29894
3575,85480
57154,85415
6895,8575
7067,5451
509,3141
6780,4691
