geneid,ab40
721,1.465090766
722,0.727726295
725,-0.268300352
727,2.191608766
728,1.547858387
729,1.815553615
730,-0.33656667
732,-1.307170108
734,-2.093318559
735,0.481913606
738,0.178892614
740,0.303357118
746,-0.515322524
747,1.183989407
752,-0.213348905
753,-1.980543386
754,-0.030223376
757,0.230732977
758,0.935258338
759,0.603334654
760,0.540989999
761,-0.364207081
762,-0.388117669
763,0.671164234
765,0.465492272
766,-0.707873466
767,-0.961589173
768,0.464500071
770,0.132291012
771,-0.558160112
773,0.559671594
774,-1.388870689
775,0.204051459
776,0.281868164
777,-0.173236753
778,-0.171343528
779,-1.123792487
780,0.966790195
781,0.392631066
784,1.16218425
785,-0.23677534
788,1.065093929
790,2.652978416
793,0.09648301
794,-1.059357517
795,0.50930316
796,-2.422097449
797,0.665152166
799,-0.609022553
800,0.017145129
801,0.23945398
805,0.98120776
808,0.011567747
811,-1.196142974
813,0.898173646
814,-0.178887541
815,-0.488043301
816,0.116658054
817,-0.68448409
818,0.909928115
819,-0.254742972
820,-0.226586081
821,-0.668025918
822,0.087394444
823,1.245925999
824,-0.328825089
826,-1.383366888
827,0.001111241
829,-0.021293533
830,1.859526633
831,1.088850873
832,-2.690517867
833,0.31848795
834,0.920120505
835,1.484546255
836,-0.793078975
837,0.156738644
838,-1.390829802
839,-0.323956723
840,-2.696194992
841,-0.742181517
842,-2.878346726
843,1.015350082
845,-0.083191409
846,0.98018616
847,-0.090479367
857,0.680872023
858,-1.958240761
859,0.011216002
861,0.677926224
862,-0.457998506
864,-1.691899867
865,-2.188737808
866,-0.207460509
867,-1.899678135
868,-0.817818766
869,-0.136274454
871,0.777436863
873,-0.367957646
874,-0.578228624
875,-1.523978549
881,0.633611357
883,-1.810671155
885,-0.785559256
886,0.259692654
889,0.122259679
890,0.270847646
891,1.046065919
892,0.126133636
894,0.184057909
896,-2.109737442
898,-0.611188848
899,-0.51937687
900,-0.467119757
901,1.345132241
902,-0.497001354
904,0.128645633
905,1.272907723
908,0.799148181
909,-0.498959789
910,-0.040715528
911,-0.21370714
912,1.099012996
913,0.334853461
914,0.004686157
915,-4.058833805
916,-2.056486707
917,2.170151992
919,0.629923057
920,0.006059439
921,1.531756475
922,0.297100619
926,1.248766349
928,0.364369254
930,0.245774733
931,1.361551967
932,1.020361176
933,-0.890994834
939,0.338789855
940,0.043870941
941,1.052255955
942,0.774253552
944,-1.010476999
945,-2.960375251
946,-0.084777006
947,-0.985254334
948,1.194355116
949,-0.982767379
950,0.902568102
952,0.789552113
953,-0.970479465
955,-0.667010029
956,-0.930130882
957,0.109785394
958,-0.791746862
959,-0.749850796
960,0.013973244
961,-1.03819887
962,0.376838644
963,1.037119721
965,-0.910079023
966,0.03057779
967,-0.198542599
968,1.443401762
969,-1.617034154
970,0.559429419
971,0.476145884
972,0.247449526
973,-1.787473942
974,-1.641784258
975,1.201265912
976,-0.029707362
977,-1.07778946
978,-0.133109465
983,-0.399990471
984,0.417774262
987,0.48922433
988,0.807922894
989,-2.376991844
990,-0.69852376
991,0.537436002
993,-0.569454499
994,1.261249923
995,-1.117540938
996,-0.614226149
997,0.498306582
998,-0.926810898
999,-0.980112133
1000,-0.171085188
1001,-0.413660257
1002,-0.029839838
1003,0.798627319
1004,0.823077487
1005,1.357333821
1006,1.201647845
1007,0.044448368
1008,0.49231383
1009,-0.359143929
1010,0.974395327
1012,-1.405684173
1015,0.259002948
1016,0.131338194
1017,1.220686456
1018,0.590455701
1019,-0.981929628
1020,0.412858212
1021,0.254128585
1022,-0.91562785
1024,-0.393491984
1025,-0.502729445
1026,0.391852629
1027,-0.230327744
1028,1.387126878
1029,0.347926693
1030,0.555003665
1031,-0.088977427
1032,-0.294213296
1033,-0.033997632
1036,0.849084166
1038,1.071900991
1040,0.199077476
1041,-1.228080046
1046,-0.127000355
1047,0.385767515
1048,0.778697397
1052,0.331706365
1054,1.924796859
1058,1.297284975
1060,-0.270011608
1062,-0.394912571
1063,1.868347999
1066,-0.006059439
1068,-0.122277831
1069,-0.760789841
1070,0.657684378
1071,-0.318068068
1072,1.032793184
1073,1.215874338
1075,-0.282848136
1080,-1.42700426
1081,-1.541031789
1084,-0.126360969
1087,1.436687344
1088,-0.082955265
1089,-0.544862748
1102,-0.367077618
1103,-0.224171711
1104,-0.542771949
1105,0.238361295
1106,1.993276389
1107,1.322764598
1108,1.19925579
1109,-0.539191013
1111,-1.580980005
1112,-0.37973355
1114,-1.123801441
1116,0.359876056
1117,0.617656491
1118,0.412853552
1119,-2.623406427
1120,-1.585596
1121,0.336827604
1122,-0.104607474
1123,-1.395837554
1124,-2.012625906
1129,-0.835558453
1130,-0.656197088
1131,-0.79563024
1133,-1.056910795
1134,-0.923735986
1135,-0.050333884
1136,-0.132800893
1138,-0.305357989
1139,-1.469279638
1140,-0.902380409
1142,-0.803624396
1143,0.69478757
1144,0.602748482
1145,-1.117671507
1147,0.201561521
1149,0.854286701
1152,-0.264242922
1153,0.605450293
1154,-0.387538344
1155,1.295000205
1158,0.801318345
1160,1.591428078
1161,-0.17215497
1164,-0.384415226
1173,1.362927991
1174,2.833051044
1175,0.796283569
